"GEOID","pct_male","pct_female"
"18091",51.5,48.5
"18093",49.4,50.6
"18095",50,50
"18097",48.2,51.8
"18099",49.9,50.1
"18101",50.5,49.5
"18103",53.1,46.9
"18105",49.7,50.3
"18107",50.6,49.4
"18109",49.5,50.5
"18111",49.9,50.1
"18113",50.3,49.7
"18115",49.7,50.3
"18117",50.2,49.8
"18119",51,49
"18121",48.2,51.8
"18123",53.4,46.6
"18125",49.9,50.1
"18127",49.5,50.5
"18129",49.9,50.1
"18131",50.4,49.6
"18133",52.9,47.1
"18135",49,51
"18137",49.5,50.5
"18139",48.6,51.4
"18141",48.6,51.4
"18143",49.2,50.8
"18145",49.2,50.8
"18147",50.2,49.8
"18149",49.8,50.2
"18151",50.9,49.1
"18153",53.4,46.6
"18155",51.8,48.2
"18157",51.1,48.9
"18159",49.7,50.3
"18161",48.9,51.1
"18163",48.3,51.7
"18165",50.1,49.9
"18167",50.8,49.2
"18169",48.9,51.1
"18171",49.9,50.1
"18173",49.2,50.8
"18175",49.9,50.1
"18177",48.6,51.4
"18179",49,51
"18181",50,50
"18183",49.7,50.3
"19001",49.5,50.5
"19003",49.9,50.1
"19005",50.5,49.5
"19007",49.3,50.7
"19009",49.7,50.3
"19011",49.9,50.1
"19013",49.2,50.8
"19015",50.1,49.9
"19017",49.5,50.5
"19019",49.4,50.6
"19021",49.9,50.1
"19023",49.8,50.2
"19025",51.9,48.1
"19027",49.3,50.7
"19029",49.3,50.7
"19031",49.7,50.3
"19033",48.8,51.2
"19035",50.4,49.6
"19037",50.6,49.4
"19039",49,51
"19041",49.3,50.7
"19043",50.8,49.2
"19045",48.9,51.1
"19047",49.8,50.2
"19049",49.4,50.6
"19051",49.4,50.6
"19053",50.2,49.8
"19055",50.2,49.8
"19057",48.6,51.4
"19059",49.7,50.3
"19061",49.3,50.7
"19063",50.1,49.9
"19065",50.3,49.7
"19067",49.1,50.9
"19069",49.7,50.3
"19071",49.7,50.3
"19073",49.1,50.9
"19075",49.5,50.5
"19077",49.5,50.5
"19079",49.2,50.8
"19081",50.2,49.8
"19083",50,50
"19085",49.9,50.1
"19087",50.8,49.2
"19089",50,50
"19091",49,51
"19093",49.9,50.1
"19095",49.5,50.5
"19097",50.1,49.9
"19099",51.1,48.9
"19101",49,51
"19103",49.5,50.5
"19105",51.7,48.3
"19107",50.8,49.2
"19109",50.1,49.9
"19111",50.4,49.6
"19113",49.3,50.7
"19115",51.2,48.8
"19117",50.3,49.7
"19119",51.1,48.9
"19121",50.6,49.4
"19123",50.3,49.7
"19125",49.7,50.3
"19127",50.8,49.2
"19129",50,50
"19131",49.3,50.7
"19133",47.9,52.1
"19135",49.8,50.2
"19137",48.2,51.8
"19139",49.7,50.3
