fips,pop
20163,4920
20003,7858
20053,6102
20077,5436
20057,33619
20111,33195
20117,9707
20001,12369
20033,1700
20035,34908
20063,2636
20059,25544
20083,1794
20089,2879
20159,9537
20113,28542
20139,15949
20031,8179
20037,38818
20073,5982
20107,9703
20173,516042
6105,12285
6065,2470546
6071,2180085
6041,258826
6093,43539
6089,180080
6015,27812
6011,21547
6007,219186
20189,5485
20183,3583
20067,7150
20085,13171
20095,7152
20109,2794
20131,10231
20149,24383
20209,165429
20021,19939
20015,66911
20027,8002
20105,2962
20169,54224
20191,22836
20195,2803
20197,6931
20205,8525
20207,3138
20123,5979
20141,3421
20011,14534
20055,36467
20097,2475
20103,81758
20201,5406
20019,3250
20129,2587
20155,61998
20009,25779
20043,7600
20081,3968
20101,1535
20171,4823
20115,11884
20013,9564
20143,5704
20161,74232
20039,2827
20041,18466
21079,17666
21089,35098
21037,93584
21063,7517
21081,25069
21123,14398
21141,27102
21167,21933
21191,14590
21207,17923
21229,12095
6049,8841
6027,18039
6083,446499
6025,181215
6001,1671329
6017,192843
6075,881549
6107,466195
6057,99755
6045,86749
6037,10039107
6085,1927852
6061,398329
6095,447643
6021,28393
20135,2750
20005,16073
20075,2539
20177,176875
20203,2119
20137,5361
20029,8786
20047,2798
20165,3036
20133,16007
20147,5234
20007,4427
20087,19043
21069,14581
21043,26797
21111,766757
21161,17070
21201,2108
21215,19351
21007,7888
21087,10941
21159,11195
21137,24549
21183,23994
21233,12942
21045,16159
8063,7097
8051,17462
8091,4952
8123,324492
8023,3887
8035,351154
8067,56221
8105,11267
8025,6061
8111,728
8075,22409
8119,25388
8071,14506
8107,25638
8003,16233
8043,47839
8087,29068
8109,6824
48221,61643
34005,445349
35029,23709
35055,32723
35007,11941
35021,625
35037,8253
28103,10417
28137,28321
28107,34192
28161,12108
28029,28065
28049,231840
28145,28815
28139,22015
28035,74897
28071,54019
28087,58595
28157,8630
28065,11128
28123,28124
28163,29690
28011,30628
28113,39288
28131,18336
28069,9742
28133,25110
28001,30693
28033,184945
42045,566747
37067,382295
37017,32722
37031,69473
37015,18947
37117,22440
51161,94186
48037,93245
48263,762
48425,9128
48199,57602
48289,17404
48351,13595
48389,15976
48453,1273954
48087,2920
48143,42698
48345,1200
48083,8175
48325,51584
48213,82737
48277,49859
48267,4337
48477,35882
48429,9366
48003,18705
48177,20837
48305,5951
48505,14179
13017,16700
13033,22383
13047,67580
13053,10907
13055,24789
13073,156714
13087,26404
13115,98498
13117,244252
13137,45328
13147,26205
13185,117406
13191,14378
13199,21167
13207,27578
13237,22119
13261,29524
13265,1537
13301,5254
13007,3038
13029,39627
13043,10803
13039,54666
13079,12404
13099,10190
13069,43273
13067,760141
13123,31369
13297,94593
13317,9777
13091,20605
13105,19194
13057,258773
13165,8676
13177,29992
13227,32591
13071,45600
13075,17270
13063,292256
13121,1063937
15001,201513
15003,974563
15007,72293
18091,109888
18181,24102
18073,33562
18101,10255
18145,44729
18137,28324
18153,20669
18159,15148
18167,107038
18173,62998
18033,43475
18005,83779
18139,16581
18049,19974
18089,485493
18113,47744
18001,35777
18041,23102
18063,170311
18037,42736
18053,65769
18059,78168
18067,82544
18115,5875
18121,16937
18183,33964
18007,8748
18023,32399
18133,37576
18175,28036
18029,49458
18065,47972
18093,45370
18095,129569
18125,12389
18129,25427
18151,34594
18165,15498
20121,34237
20157,4636
20065,2482
20045,122259
20069,5988
20017,2648
21091,8722
21011,12500
21009,44249
21021,30060
21095,26010
21093,110958
21149,9207
21171,10650
21197,12359
21225,14381
21033,12747
21035,39001
8053,820
8049,15734
26093,191995
26069,25127
26085,11853
26101,24558
26119,9328
26141,12592
26051,25449
26077,265066
26107,43453
26103,66699
26123,48980
26133,23460
26137,24668
26025,134159
26031,25276
26095,6229
26081,656955
26099,873972
26145,190539
26013,8209
26017,103126
26045,110268
26041,35784
26047,33415
27071,12229
27097,33386
27131,66972
27147,36649
27125,4055
27001,15886
27043,13653
27101,8194
27067,43199
27075,10641
27133,9315
27143,14865
27155,3259
27005,34423
27053,1265843
27015,25008
27023,11800
27029,8818
27057,21491
27059,40596
48269,272
48073,52646
48119,5331
48253,20083
48249,40482
48111,7287
48157,811688
48235,1536
48489,21358
48115,12728
48051,18443
72085,37007
72145,50023
72059,17623
72121,21712
72067,15518
72141,27395
72054,11317
72099,34891
72123,27128
47077,28117
47089,54495
47153,15026
47017,27767
47037,694144
47135,8076
47121,12422
47075,17304
47125,208993
47061,13427
47029,36004
47041,20490
47101,12268
47131,30069
47167,61599
47045,37159
47065,367804
16071,4531
16031,24030
16063,5366
16003,4294
16041,13876
16053,24412
16055,165697
16067,21039
16073,11823
16013,23021
16021,12245
16023,2597
16047,15179
16001,481587
16007,6125
16019,119062
16025,1106
16035,8756
16051,29871
16059,8027
37113,35858
37111,45756
37069,69685
37103,9419
37019,142820
37175,34385
37013,46994
37047,55508
37109,86111
37123,27173
37135,148476
37153,44829
37163,63531
37171,71783
37011,17557
37021,261191
37025,216453
37033,22604
37059,42846
37057,167609
37061,58741
37063,321488
37091,23677
37105,61779
37129,234473
37141,63060
37191,123131
37165,34823
37189,56177
37083,50010
37001,169509
37177,4016
38089,31489
38103,3834
38013,2115
38061,10545
38105,37589
38007,928
38043,2480
38019,3762
38037,2274
38049,5745
38091,1890
38005,6832
38045,4046
38059,31364
38025,4424
38051,2497
38063,2879
38079,14176
38099,10641
38009,6282
38003,10415
38035,69451
38053,15024
38055,9450
38069,3975
36019,80485
36099,34016
36079,98320
36043,61319
36069,109777
36101,95379
36041,4416
36013,126903
36047,2559903
36107,48203
36073,40352
36091,229863
36021,59461
36049,26296
36119,967506
36025,44135
36057,49221
36085,476143
36089,107740
36109,102180
36113,63944
36023,47581
36027,294218
36055,741770
36065,228671
36111,177573
36015,83456
36051,62914
36077,59493
36039,47188
36001,305506
36003,46091
36009,76117
36053,70941
36093,155299
36037,57280
36123,24913
37079,21069
37121,14964
37041,13943
48241,35529
48245,251565
48271,3667
48359,2112
48279,12893
48295,3233
48307,7984
48319,4274
48125,2211
48287,17239
48439,2102515
48001,57735
48139,184826
48239,14760
48265,52600
48331,24823
48093,13635
48145,17297
48047,7093
48273,30680
