"GEOID","poverty_total","poverty_male","poverty_female"
"19069",13.4,6.6,6.8
"19071",10.3,4.3,5.9
"19073",8.2,2.8,5.3
"19075",5.5,2.1,3.4
"19077",8.6,3.9,4.7
"19079",9.7,4.2,5.5
"19081",9.8,4.2,5.6
"19083",9.2,3.5,5.7
"19085",9.6,3.6,6
"19087",9.9,4.4,5.5
"19089",8.8,3,5.8
"19091",12.8,5.5,7.3
"19093",9.4,4.4,5
"19095",8.6,3.9,4.7
"19097",12.9,5.5,7.4
"19099",8.6,4,4.6
"19101",11.5,4.9,6.6
"19103",17.1,8.4,8.8
"19105",8.5,3.4,5.2
"19107",9.8,4.2,5.5
"19109",10.7,4.1,6.6
"19111",13.6,5.7,7.9
"19113",9.9,4.4,5.6
"19115",10,4.2,5.8
"19117",11.5,5.3,6.3
"19119",4.6,2,2.6
"19121",5,1.8,3.2
"19123",13.3,6,7.3
"19125",7.4,2.8,4.6
"19127",11.6,5.3,6.3
"19129",8.2,3,5.2
"19131",6.7,2.9,3.8
"19133",14.2,5.8,8.4
"19135",10.4,4.7,5.7
"19137",11.7,4.5,7.3
"19139",9.5,4,5.5
"19141",10.4,4.6,5.9
"19143",12.3,5.2,7.1
"19145",10.6,4.6,6
"19147",6.2,3.1,3.1
"19149",8.9,4,5
"19151",10.5,3.9,6.6
"19153",10.2,4.6,5.6
"19155",10.5,4.6,5.9
"19157",9,3.5,5.5
"19159",8.3,3.3,5
"19161",9.7,4.6,5.1
"19163",11.8,5.5,6.3
"19165",7.8,3.2,4.6
"19167",5.9,2.4,3.5
"19169",18.6,10,8.6
"19171",11.6,4.6,7
"19173",9.8,4.6,5.2
"19175",13.9,5.7,8.2
"19177",12.7,6.4,6.3
"19179",14.6,6.6,8
"19181",7.9,3.1,4.7
"19183",9.7,4.2,5.5
"19185",16.9,7.8,9.1
"19187",12.7,5.3,7.4
"19189",8.4,3.4,5
"19191",7.3,2.4,4.9
"19193",12.3,5.5,6.8
"19195",8.4,4,4.4
"19197",11.5,5.1,6.3
"20001",17,7.1,10
"20003",14.7,7.2,7.4
"20005",13.9,5.1,8.9
"20007",16.1,8.7,7.5
"20009",15,6.2,8.8
"20011",15.5,7.6,7.9
"20013",13.1,5.3,7.8
"20015",9,4.2,4.9
"20017",11.4,5.7,5.7
"20019",18.2,9.4,8.8
"20021",12.9,5.8,7.1
